;;INE PADRON;;;;;;AGENCIA TRIBUTARIA;
PROVINCIA;NOMBRE;POB19;HOMBRES;MUJERES;POB05;POB10;POB15;RENTA_BRUTA_MEDIA;RENTA_BRUTA_DISPONIBLE
Albacete;Abengibre;790;379;411;977;932;782;0;0
Albacete;Alatoz;519;291;228;603;599;610;0;0
Albacete;Albacete;173329;84687;88642;159,518;170475;172121;13394;1198
Albacete;Albatana;692;356;336;856;812;744;0;0
Albacete;Alborea;658;337;321;827;883;754;0;0
Albacete;Alcadozo;654;363;291;774;737;699;0;0
Albacete;Alcalá del Júcar;1170;618;552;1,404;1381;1250;0;0
Albacete;Alcaraz;1351;703;648;1,766;1642;1529;17412;14966
Albacete;Almansa;24419;12167;12252;24,974;25654;24837;2074;17465
Albacete;Alpera;2265;1174;1091;2,389;2414;2326;15473;13667
Albacete;Ayna;616;327;289;913;808;717;0;0
Albacete;Balazote;2334;1189;1145;2,576;2448;2378;16662;14385
Albacete;Ballestero, El;405;207;198;0;0;442;0;0
Albacete;Balsa de Ves;158;91;67;226;209;172;0;0
Albacete;Barrax;1833;939;894;1,978;2053;1915;15174;13629
Albacete;Bienservida;603;326;277;786;743;664;0;0
Albacete;Bogarra;842;443;399;1,121;1015;947;0;0
Albacete;Bonete;1049;540;509;1,270;1217;1127;16298;14365
Albacete;Bonillo, El;2779;1415;1364;0;0;2915;0;0
Albacete;Carcelén;501;271;230;651;645;546;0;0
Albacete;Casas de Juan Núñez;1307;686;621;1,340;1410;1382;0;0
Albacete;Casas de Lázaro;363;205;158;427;453;403;0;0
Albacete;Casas de Ves;572;301;271;825;787;666;0;0
Albacete;Casas-Ibáñez;4538;2294;2244;4,415;4761;4658;0;0
Albacete;Caudete;9963;5073;4890;9,553;10450;10163;18648;15962
Albacete;Cenizate;1181;597;584;1,239;1316;1174;13461;12018
Albacete;Chinchilla de Monte-Aragón;4206;2196;2010;3,375;3924;4169;0;0
Albacete;Corral-Rubio;324;174;150;451;409;358;0;0
Albacete;Cotillas;123;64;59;176;161;141;0;0
Albacete;Elche de la Sierra;3585;1787;1798;3,878;3944;3761;0;0
Albacete;Férez;643;317;326;795;755;705;0;0
Albacete;Fuensanta;297;168;129;388;366;327;0;0
Albacete;Fuente-Álamo;2489;1307;1182;2,720;2673;2591;0;0
Albacete;Fuentealbilla;1792;914;878;1,943;2067;1901;16096;14323
Albacete;Gineta, La;2512;1304;1208;0;0;2532;0;0
Albacete;Golosalvo;104;55;49;110;123;114;0;0
Albacete;Hellín;30306;15162;15144;29,847;31109;30592;17509;15026
Albacete;Herrera, La;326;167;159;0;0;347;0;0
Albacete;Higueruela;1158;602;556;1,350;1284;1249;16536;14342
Albacete;Hoya-Gonzalo;647;345;302;833;710;706;0;0
Albacete;Jorquera;355;193;162;511;457;400;0;0
Albacete;Letur;919;449;470;1,209;1076;987;14765;12977
Albacete;Lezuza;1358;705;653;1,708;1620;1483;14319;12942
Albacete;Liétor;1175;610;565;1,537;1440;1321;16399;14373
Albacete;Madrigueras;4652;2380;2272;4,647;4917;4724;19106;16264
Albacete;Mahora;1383;706;677;1,379;1412;1422;1588;13843
Albacete;Masegoso;110;59;51;119;90;121;0;0
